year,fage,fsize,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,a) 0,a) 1 to 4,430664,432865,1136044,568031,432865,199.998,0,0,1136044,1136044,0,199.997,199.997,0,0,0,0,0,1136025,199.993,0,0,0,0
1978,a) 0,b) 5 to 9,33865,35517,446109,223060,35517,199.994,0,0,446110,446109,0,199.995,199.996,0,0,0,0,0,446099,199.991,0,0,0,0
1978,a) 0,c) 10 to 19,13045,14505,348669,174335,14505,200.000,0,0,348669,348669,0,200.000,200.000,0,0,0,0,0,348669,200.000,0,0,0,0
1978,a) 0,d) 20 to 99,6842,8857,480699,240350,8857,200.000,0,0,480699,480699,0,200.000,200.000,0,0,0,0,0,480699,200.000,0,0,0,0
1978,a) 0,e) 100 to 499,399,1013,133130,66565,1013,200.000,0,0,133130,133130,0,200.000,200.000,0,0,0,0,0,133130,200.000,0,0,0,0
1978,a) 0,f) 500 to 999,21,261,22401,11201,261,200.000,0,0,22401,22401,0,200.000,200.000,0,0,0,0,0,22401,200.000,0,0,0,0
1978,a) 0,g) 1000 to 2499,8,296,13318,6659,296,200.000,0,0,13318,13318,0,200.000,200.000,0,0,0,0,0,13318,200.000,0,0,0,0
1978,a) 0,h) 2500 to 4999,(D),(D),(D),(D),(D),(D),0,0,(D),(D),0,(D),(D),0,0,0,0,0,(D),(D),0,0,0,0
1978,a) 0,i) 5000 to 9999,4,31,881,441,31,200.000,0,0,881,881,0,200.000,200.000,0,0,0,0,0,881,200.000,0,0,0,0
1978,a) 0,j) 10000+,4,17,683,342,17,200.000,0,0,683,683,0,200.000,200.000,0,0,0,0,0,683,200.000,0,0,0,0
1978,b) 1,a) 1 to 4,256315,257146,599152,671677,1044,0.333,113202,36.141,187078,2447,184631,0.364,27.852,321222,256093,65129,38.127,47.824,-134144,-19.972,55.705,91043,91162,211330
1978,b) 1,b) 5 to 9,57065,58360,434513,416068,798,1.311,5841,9.594,155776,3657,152119,0.879,37.440,119575,71947,47628,17.292,28.739,36201,8.701,57.479,4666,4824,61444
1978,b) 1,c) 10 to 19,26331,28473,404216,382957,842,2.864,2703,9.193,143435,5592,137843,1.460,37.455,101375,59180,42195,15.453,26.472,42060,10.983,52.943,1830,2029,48950
1978,b) 1,d) 20 to 99,15319,19326,640699,605260,1345,6.839,2026,10.302,227258,20562,206696,3.397,37.547,156667,91378,65289,15.097,25.884,70591,11.663,51.769,986,1219,71824
1978,b) 1,e) 100 to 499,1163,2833,227758,217582,659,23.872,514,18.620,84399,20412,63987,9.381,38.790,63579,39662,23917,18.229,29.221,20820,9.569,58.442,77,158,23162
1978,b) 1,f) 500 to 999,64,195,37382,36691,36,18.557,34,17.526,12609,1384,11225,3.772,34.365,11158,4302,6856,11.725,30.411,1451,3.955,60.821,4,24,4065
1978,b) 1,g) 1000 to 2499,27,213,25854,25227,13,5.567,54,23.126,7213,1103,6110,4.372,28.593,6392,2165,4227,8.582,25.338,821,3.255,50.677,(D),(D),(D)
1978,b) 1,h) 2500 to 4999,5,533,12415,12427,0,0.000,(D),(D),606,0,606,0.000,4.876,605,(D),150,(D),4.868,1,0.008,9.737,0,0,0
1978,b) 1,i) 5000 to 9999,7,15,620,329,13,152.941,0,0.000,602,597,(D),181.459,182.979,16,0,(D),0.000,4.863,586,178.116,9.726,0,0,0
1978,b) 1,j) 10000+,8,69,15647,15138,(D),(D),(D),(D),2743,(D),2358,(D),18.120,1712,(D),1342,(D),11.309,1031,6.811,22.619,0,0,0
1978,c) 2,a) 1 to 4,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,c) 2,b) 5 to 9,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,c) 2,c) 10 to 19,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,c) 2,d) 20 to 99,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,c) 2,e) 100 to 499,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,c) 2,f) 500 to 999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,c) 2,g) 1000 to 2499,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,c) 2,h) 2500 to 4999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,c) 2,i) 5000 to 9999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,c) 2,j) 10000+,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,d) 3,a) 1 to 4,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,d) 3,b) 5 to 9,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,d) 3,c) 10 to 19,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,d) 3,d) 20 to 99,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,d) 3,e) 100 to 499,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,d) 3,f) 500 to 999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,d) 3,g) 1000 to 2499,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,d) 3,h) 2500 to 4999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,d) 3,i) 5000 to 9999,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,d) 3,j) 10000+,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,e) 4,a) 1 to 4,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,e) 4,b) 5 to 9,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,e) 4,c) 10 to 19,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,e) 4,d) 20 to 99,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
1978,e) 4,e) 100 to 499,0,0,0,0,0,,0,,0,0,0,.,.,0,0,0,.,.,0,.,.,0,0,0
