DATE,PCEC96_NBD20200101,GPDIC1_NBD20200101,EMRATIO_NBD20200101,GDPC1_NBD20200101,OUTNFB_NBD20200101,Exit_rate,Entry_rate
10/1/19,101.80184,101.37119,100.43932,101.3208,101.92877,100,100
1/1/20,100,100,100,100,100,100,100
4/1/20,90.33332,84.60227,87.14992,91.06275,89.14315,137.84,87.5
7/1/20,98.51191,98.27658,92.42175,97.93574,97.75422,99.94,106.25
10/1/20,99.33484,103.84255,94.56343,99.028,99.22582,89.6,109.38
1/1/21,102.06078,103.24233,94.94783,100.54698,101.25554,86.15,112.5
4/1/21,104.96166,102.18487,95.49698,102.15602,103.25355,0,0
,,,,,,,
,Consumption,Investment,Employment-Population ratio,GDP,Output of nonfarm business sector,,
4/1/20,-9.66668,-15.39773,-12.85008,-8.93725,-10.85685,,
7/1/20,-1.48809,-1.72342,-7.57825,-2.06426,-2.24578,,
10/1/20,-0.66516,3.84255,-5.43657,-0.972,-0.77418,,
1/1/21,2.06078,3.24233,-5.05217,0.54698,1.25554,,
4/1/21,4.96166,2.18487,-4.50302,2.15602,3.25355,,
